"","player_name","cluster"
"1","Mike Montgomery",1
"2","Pedro Strop",1
"3","David Hernandez",1
"4","Seunghwan Oh",1
"5","Roberto Osuna",1
"6","Luke Jackson",1
"7","Jalen Beeks",1
"8","Dylan Covey",1
"9","Matt Koch",1
"10","Shane Greene",1
"11","Ryan Burr",1
"12","Jon Lester",1
"13","Max Scherzer",1
"14","Justin Verlander",1
"15","Adam Ottavino",1
"16","Dominic Leone",1
"17","Marco Gonzales",1
"18","Nick Vincent",1
"19","Hyun-Jin Ryu",1
"20","Lou Trivino",1
"21","Joe Biagini",1
"22","Jesse Chavez",1
"23","Madison Bumgarner",1
"24","Corey Kluber",1
"25","Marcus Stroman",1
"26","Eric Lauer",1
"27","Chase Anderson",1
"28","Kenley Jansen",1
"29","Bryan Shaw",1
"30","Jacob Barnes",1
"31","Jose Alvarado",1
"32","Phil Maton",1
"33","DJ Johnson",1
"34","Ryan Buchter",1
"35","Blaine Hardy",1
"36","Colten Brewer",1
"37","Nathan Eovaldi",1
"38","Charlie Morton",1
"39","Marco Estrada",1
"40","Wander Suero",1
"41","Josh Tomlin",1
"42","Alex Colome",1
"43","Jonathan Holder",1
"44","Blake Parker",1
"45","Justin Wilson",1
"46","Jace Fry",1
"47","Jose Alvarez",1
"48","Eduardo Rodriguez",1
"49","Will Harris",1
"50","Dereck Rodriguez",1
"51","Jake Odorizzi",1
"52","Tyler Anderson",1
"53","Collin McHugh",1
"54","Yu Darvish",1
"55","Chris Martin",1
"56","Joe Musgrove",1
"57","Tyler Chatwood",1
"58","Wade LeBlanc",1
"59","Lance Lynn",1
"60","Michael Wacha",1
"61","Luke Weaver",1
"62","Cole Hamels",1
"63","Wade Miley",1
"64","Michael Lorenzen",1
"65","Sonny Gray",1
"66","Steven Brault",1
"67","Zach Davies",1
"68","Chad Bettis",1
"69","Tyson Ross",1
"70","Tanner Roark",1
"71","Chris Stratton",1
"72","Ryan Yarbrough",1
"73","Shelby Miller",1
"74","Yusmeiro Petit",1
"75","Anibal Sanchez",1
"76","A.J. Minter",1
"77","Carson Fulmer",1
"78","Nick Wittgren",1
"79","Shawn Armstrong",1
"80","Clay Buchholz",1
"81","Erasmo Ramirez",1
"82","Dan Winkler",1
"83","Josh Osich",1
"84","Chris Bassitt",1
"85","Daniel Ponce de Leon",1
"86","Erick Fedde",1
"87","Rich Hill",1
"88","Dovydas Neverauskas",1
"89","Clay Holmes",1
"90","Xavier Cedeno",1
"91","Daniel Mengden",1
"92","Edwin Jackson",1
"93","Carlos Martinez",1
"94","Rowan Wick",1
"95","Chris Rusin",1
"96","Carlos Torres",1
"97","Walker Lockett",1
"98","Dallas Keuchel",1
"99","Tony Barnette",1
"100","Tommy Hunter",1
"101","Max Fried",2
"102","Tyler Thornburg",2
"103","Roenis Elias",2
"104","Aaron Loup",2
"105","Caleb Ferguson",2
"106","Matt Barnes",2
"107","Freddy Peralta",2
"108","Carl Edwards Jr.",2
"109","Jose Quintana",2
"110","J.B. Wendelken",2
"111","Noe Ramirez",2
"112","Keone Kela",2
"113","Thomas Pannone",2
"114","Tyler Skaggs",2
"115","Kyle Hendricks",2
"116","Framber Valdez",2
"117","Jonathan Loaisiga",2
"118","Andrew Vasquez",2
"119","Casey Sadler",2
"120","Jesus Sucre",2
"121","Sam Freeman",2
"122","Jeff Mathis",2
"123","Jedd Gyorko",2
"124","Tyler Clippard",2
"125","Jerry Blevins",2
"126","Gio Gonzalez",2
"127","Pablo Sandoval",2
"128","Ryan Weber",2
"129","Nestor Cortes Jr.",2
"130","Brandon Dixon",2
"131","Victor Caratini",2
"132","Oliver Drake",2
"133","Andrew Heaney",2
"134","Jeff Brigham",2
"135","Daniel Robertson",2
"136","Steven Wright",2
"137","Ross Detwiler",2
"138","Pat Neshek",3
"139","Aroldis Chapman",3
"140","Jeffrey Springs",3
"141","Brad Boxberger",3
"142","Kevin McCarthy",3
"143","Jake Diekman",3
"144","Paul Fry",3
"145","Raisel Iglesias",3
"146","Cory Gearrin",3
"147","Kyle Barraclough",3
"148","Zack Britton",3
"149","Jeurys Familia",3
"150","Hector Velazquez",3
"151","Austin Brice",3
"152","Matt Grace",3
"153","Blake Treinen",3
"154","Wes Parsons",3
"155","Victor Alcantara",3
"156","Richard Rodriguez",3
"157","Kirby Yates",3
"158","Shawn Kelley",3
"159","Jeanmar Gomez",3
"160","Joe Jimenez",3
"161","Adam Cimber",3
"162","Cam Bedrosian",3
"163","Zach Duke",3
"164","Oliver Perez",3
"165","Jared Hughes",3
"166","Masahiro Tanaka",3
"167","Mike Wright",3
"168","Trey Wingenter",3
"169","Dylan Floro",3
"170","Andrew Chafin",3
"171","Jordan Hicks",3
"172","Yoshihisa Hirano",3
"173","Sam Dyson",3
"174","Sergio Romo",3
"175","Ty Buttrey",3
"176","Adam Kolarek",3
"177","Yoan Lopez",3
"178","Trevor Gott",3
"179","Diego Castillo",3
"180","Adam Conley",3
"181","Scott Alexander",3
"182","Alex Claudio",3
"183","Buck Farmer",3
"184","Joey Lucchesi",3
"185","Matt Albers",3
"186","Trevor Richards",3
"187","Brandon Kintzler",3
"188","Nick Rumbelow",3
"189","Richard Bleier",3
"190","Chad Sobotka",3
"191","Tony Watson",3
"192","Chris Devenski",3
"193","Miguel Castro",3
"194","Tyler Olson",3
"195","Chad Green",3
"196","Jake McGee",3
"197","Noah Syndergaard",3
"198","Tim Hill",3
"199","Jakob Junis",3
"200","Ryne Stanek",3
"201","Dakota Hudson",3
"202","Jonny Venters",3
"203","Spencer Turnbull",3
"204","Steve Cishek",3
"205","Bryse Wilson",3
"206","Chasen Bradford",3
"207","Stephen Tarpley",3
"208","Sean Doolittle",3
"209","Tim Peterson",3
"210","Robert Gsellman",3
"211","Trevor Hildenberger",3
"212","Jake Arrieta",3
"213","Trevor Williams",3
"214","Harrison Musgrave",3
"215","Sandy Alcantara",3
"216","Yonny Chirinos",3
"217","Dan Otero",3
"218","Caleb Frare",3
"219","Adrian Sampson",3
"220","Steven Matz",3
"221","Wilmer Font",3
"222","Allen Webster",3
"223","Jose Ruiz",3
"224","Joe Ross",3
"225","Yency Almonte",3
"226","Marcus Walden",3
"227","JT Chargois",3
"228","Tanner Scott",3
"229","Jake Newberry",3
"230","Giovanny Gallegos",3
"231","Josh Lucas",3
"232","Touki Toussaint",3
"233","Corey Oswalt",3
"234","CC Sabathia",3
"235","John Curtiss",3
"236","Reymin Guduan",3
"237","Austen Williams",3
"238","Jarlin Garcia",3
"239","Ryan Tepera",3
"240","Donnie Hart",3
"241","Taylor Cole",3
"242","Austin Adams",3
"243","Ryan Dull",3
"244","Daniel Zamora",3
"245","Kohl Stewart",3
"246","Aaron Bummer",3
"247","Ty Blach",3
"248","T.J. McFarland",3
"249","Jake Barrett",3
"250","Pat Venditte",3
"251","Tyler Lyons",3
"252","Tyler Bashlor",3
"253","Williams Jerez",3
"254","Dan Altavilla",3
"255","Kyle McGowin",3
"256","Tanner Rainey",3
"257","Jimmy Cordero",3
"258","Elieser Hernandez",3
"259","Lucas Sims",3
"260","Justin Shafer",3
"261","Nick Goody",3
"262","Gerson Bautista",3
"263","Cionel Perez",3
"264","Tanner Anderson",3
"265","Odrisamer Despaigne",3
"266","Brooks Pounders",3
"267","Andrew Kittredge",3
"268","Ray Black",3
"269","David Robertson",4
"270","Ian Kennedy",4
"271","Aaron Nola",4
"272","Craig Stammen",4
"273","Trevor Cahill",4
"274","Mike Minor",4
"275","Zack Greinke",4
"276","Archie Bradley",4
"277","Joe Kelly",4
"278","Cody Allen",4
"279","Mark Melancon",4
"280","Brandon Workman",4
"281","Jack Flaherty",4
"282","Gerrit Cole",4
"283","Matt Shoemaker",4
"284","Ross Stripling",4
"285","Robbie Ray",4
"286","German Marquez",4
"287","Derek Holland",4
"288","Trevor Bauer",4
